comment_score,Positive,Negative
-91,0.23076923076923078,0.9230769230769231
26,0.25585319552836955,0.8993883147015398
29,0.24555774925962487,0.9007897334649556
474,0.4,0.9333333333333333
964,0.0,0.75
1677,0.0,1.0
1806,0.0,1.0
1950,0.0,0.5
2040,0.0,1.0
2453,0.0,1.0
2509,0.0,1.0
65,0.26666666666666666,0.891156462585034
191,0.27,0.94
418,0.2916666666666667,1.0
541,0.2222222222222222,1.0
558,0.21428571428571427,0.8571428571428571
1010,0.16666666666666666,1.0
1224,0.6666666666666666,0.6666666666666666
1258,0.0,1.0
1277,0.5,1.0
1360,0.0,1.0
3061,0.0,1.0
3391,1.0,1.0
5241,0.0,1.0
-109,0.4444444444444444,0.6666666666666666
-58,0.19718309859154928,0.8450704225352113
222,0.3055555555555556,0.875
270,0.32653061224489793,0.8979591836734694
293,0.14285714285714285,0.9387755102040817
730,0.125,1.0
938,0.0,1.0
1127,0.0,1.0
1145,0.0,1.0
1371,0.5,1.0
1409,0.5,1.0
1551,0.5,1.0
2184,0.0,1.0
2570,0.0,1.0
243,0.23076923076923078,0.9692307692307692
278,0.38461538461538464,0.9423076923076923
367,0.3333333333333333,0.9393939393939394
442,0.3333333333333333,1.0
705,0.25,1.0
720,0.36363636363636365,1.0
1175,0.3333333333333333,1.0
1202,0.0,1.0
1532,0.5,1.0
1690,0.0,1.0
1919,1.0,1.0
1936,1.0,1.0
2371,0.0,1.0
2598,0.0,1.0
2944,0.0,1.0
3452,0.0,1.0
4072,0.0,1.0
-159,0.3333333333333333,1.0
19,0.2553565156304882,0.8990750497599813
54,0.24845814977973568,0.9048458149779736
296,0.3333333333333333,0.8888888888888888
926,0.0,0.5
965,0.0,0.8571428571428571
1280,0.0,1.0
1447,0.0,1.0
1537,0.0,1.0
1782,0.0,0.0
2857,0.5,1.0
7233,1.0,0.0
-193,0.0,1.0
0,0.27080459270685103,0.8477172248232112
277,0.25,0.9615384615384616
287,0.23076923076923078,0.8974358974358975
348,0.3055555555555556,0.8888888888888888
415,0.21428571428571427,0.9285714285714286
847,0.3333333333333333,1.0
1077,0.25,1.0
1336,0.0,1.0
1594,1.0,1.0
2157,0.0,1.0
2940,0.0,1.0
6361,0.0,1.0
502,0.14285714285714285,0.9285714285714286
656,0.42857142857142855,1.0
1055,0.0,1.0
1480,0.0,1.0
1921,0.5,1.0
2881,0.5,1.0
2900,0.0,1.0
3296,1.0,0.0
6322,1.0,1.0
-135,1.0,1.0
-118,0.5,0.6666666666666666
-30,0.31896551724137934,0.7959770114942529
-3,0.2907838983050847,0.8280367231638418
112,0.2185430463576159,0.9172185430463576
113,0.22957198443579765,0.9299610894941635
155,0.22627737226277372,0.9343065693430657
167,0.23448275862068965,0.9379310344827586
299,0.32,0.9
385,0.23809523809523808,0.9523809523809523
736,0.3333333333333333,1.0
831,0.5,1.0
1042,0.0,1.0
1599,0.0,1.0
1738,0.0,1.0
2175,0.0,1.0
2878,0.0,1.0
6605,0.0,1.0
-35,0.35802469135802467,0.7983539094650206
237,0.27631578947368424,0.9210526315789473
241,0.18421052631578946,0.8947368421052632
347,0.16666666666666666,0.9
564,0.0,0.875
588,0.13333333333333333,0.9333333333333333
602,0.25,0.875
857,0.3333333333333333,1.0
1497,0.0,0.0
1547,0.0,1.0
1636,0.3333333333333333,0.6666666666666666
1983,0.0,1.0
-141,0.5,0.5
22,0.2515859507968436,0.8958687915828563
198,0.2857142857142857,0.9081632653061225
330,0.3793103448275862,0.9310344827586207
414,0.16666666666666666,0.8333333333333334
530,0.125,0.875
724,0.14285714285714285,0.7142857142857143
1211,0.0,0.6666666666666666
1241,0.0,1.0
1338,0.0,1.0
1526,0.0,1.0
1640,1.0,1.0
1711,0.0,1.0
2355,0.0,1.0
2378,0.0,1.0
-60,0.38461538461538464,0.7384615384615385
130,0.2923728813559322,0.9067796610169492
196,0.2826086956521739,0.9347826086956522
427,0.18181818181818182,0.9090909090909091
486,0.058823529411764705,0.9411764705882353
487,0.09090909090909091,0.9090909090909091
